spell damage,hit chance,crit chance,number of mages,simulations,dps per mage
300,91,45,5,3000,701.64
300,91,45,6,3000,676.57
300,91,45,7,3000,657.45
300,91,45,8,3000,640.07
300,91,45,9,3000,626.37
300,91,50,1,3000,715.78
300,91,50,2,3000,790.66
300,91,50,3,3000,786.28
300,91,50,4,3000,750.10
300,91,50,5,3000,716.65
300,91,50,6,3000,693.16
300,91,50,7,3000,671.04
300,91,50,8,3000,653.31
300,91,50,9,3000,637.81
300,91,55,1,3000,762.94
300,91,55,2,3000,835.44
300,91,55,3,3000,815.94
300,91,55,4,3000,768.78
300,91,55,5,3000,734.11
300,91,55,6,3000,707.46
300,91,55,7,3000,684.30
300,91,55,8,3000,664.60
300,91,55,9,3000,648.54
300,91,60,1,3000,812.92
300,91,60,2,3000,881.79
300,91,60,3,3000,843.43
300,91,60,4,3000,788.78
300,91,60,5,3000,750.76
300,91,60,6,3000,721.53
300,91,60,7,3000,695.92
300,91,60,8,3000,675.91
300,91,60,9,3000,659.55
300,91,65,1,3000,866.78
300,91,65,2,3000,923.96
300,91,65,3,3000,866.00
300,91,65,4,3000,808.59
300,91,65,5,3000,764.99
300,91,65,6,3000,733.47
300,91,65,7,3000,707.61
300,91,65,8,3000,686.74
300,91,65,9,3000,669.43
300,91,70,1,3000,928.13
300,91,70,2,3000,964.81
300,91,70,3,3000,890.37
300,91,70,4,3000,825.28
300,91,70,5,3000,779.11
300,91,70,6,3000,745.75
300,91,70,7,3000,718.70
300,91,70,8,3000,696.96
300,91,70,9,3000,678.70
300,93,10,1,3000,475.99
300,93,10,2,3000,504.98
300,93,10,3,3000,512.60
300,93,10,4,3000,512.90
300,93,10,5,3000,512.16
300,93,10,6,3000,510.99
300,93,10,7,3000,510.36
300,93,10,8,3000,508.71
300,93,10,9,3000,507.74
300,93,15,1,3000,500.07
300,93,15,2,3000,533.28
300,93,15,3,3000,542.56
300,93,15,4,3000,544.64
300,93,15,5,3000,544.70
300,93,15,6,3000,545.08
300,93,15,7,3000,543.93
300,93,15,8,3000,541.45
300,93,15,9,3000,539.51
300,93,20,1,3000,525.20
300,93,20,2,3000,563.71
300,93,20,3,3000,576.40
300,93,20,4,3000,579.18
300,93,20,5,3000,580.19
300,93,20,6,3000,579.08
300,93,20,7,3000,575.31
300,93,20,8,3000,570.65
300,93,20,9,3000,565.82
300,93,25,1,3000,552.99
300,93,25,2,3000,598.47
300,93,25,3,3000,612.39
300,93,25,4,3000,615.71
300,93,25,5,3000,615.20
300,93,25,6,3000,610.55
300,93,25,7,3000,602.62
300,93,25,8,3000,593.82
300,93,25,9,3000,584.97
300,93,30,1,3000,584.03
300,93,30,2,3000,635.88
300,93,30,3,3000,651.49
300,93,30,4,3000,651.54
300,93,30,5,3000,646.32
300,93,30,6,3000,636.94
300,93,30,7,3000,623.90
300,93,30,8,3000,610.55
300,93,30,9,3000,598.00
300,93,35,1,3000,617.90
300,93,35,2,3000,674.53
300,93,35,3,3000,691.60
300,93,35,4,3000,685.03
300,93,35,5,3000,674.22
300,93,35,6,3000,658.18
300,93,35,7,3000,640.15
300,93,35,8,3000,623.35
300,93,35,9,3000,611.73
300,93,40,1,3000,654.72
300,93,40,2,3000,718.14
300,93,40,3,3000,730.01
300,93,40,4,3000,715.68
300,93,40,5,3000,697.67
300,93,40,6,3000,673.85
300,93,40,7,3000,653.78
300,93,40,8,3000,639.01
300,93,40,9,3000,625.53
300,93,45,1,3000,693.81
300,93,45,2,3000,765.15
300,93,45,3,3000,767.86
300,93,45,4,3000,742.16
300,93,45,5,3000,715.38
300,93,45,6,3000,689.74
300,93,45,7,3000,669.09
300,93,45,8,3000,652.89
300,93,45,9,3000,637.79
300,93,50,1,3000,738.13
300,93,50,2,3000,810.47
300,93,50,3,3000,801.71
300,93,50,4,3000,764.02
300,93,50,5,3000,731.72
300,93,50,6,3000,706.42
300,93,50,7,3000,683.98
300,93,50,8,3000,665.58
300,93,50,9,3000,649.59
300,93,55,1,3000,785.84
300,93,55,2,3000,856.21
300,93,55,3,3000,832.18
300,93,55,4,3000,783.04
300,93,55,5,3000,748.79
300,93,55,6,3000,720.91
300,93,55,7,3000,697.15
300,93,55,8,3000,676.62
300,93,55,9,3000,660.90
300,93,60,1,3000,838.05
300,93,60,2,3000,902.49
300,93,60,3,3000,860.14
300,93,60,4,3000,804.95
300,93,60,5,3000,765.10
300,93,60,6,3000,734.66
300,93,60,7,3000,709.21
300,93,60,8,3000,687.81
300,93,60,9,3000,671.00
300,93,65,1,3000,897.70
300,93,65,2,3000,947.22
300,93,65,3,3000,883.73
300,93,65,4,3000,822.94
300,93,65,5,3000,779.61
300,93,65,6,3000,747.66
300,93,65,7,3000,719.81
300,93,65,8,3000,698.80
300,93,65,9,3000,681.34
300,93,70,1,3000,960.69
300,93,70,2,3000,988.31
300,93,70,3,3000,907.91
300,93,70,4,3000,839.72
300,93,70,5,3000,793.85
300,93,70,6,3000,758.80
300,93,70,7,3000,731.52
300,93,70,8,3000,709.72
300,93,70,9,3000,690.95
300,95,10,1,3000,486.62
300,95,10,2,3000,515.01
300,95,10,3,3000,523.16
300,95,10,4,3000,522.55
300,95,10,5,3000,522.68
300,95,10,6,3000,521.26
300,95,10,7,3000,519.95
300,95,10,8,3000,518.93
300,95,10,9,3000,518.40
300,95,15,1,3000,511.20
300,95,15,2,3000,544.66
300,95,15,3,3000,553.92
300,95,15,4,3000,555.34
300,95,15,5,3000,556.22
300,95,15,6,3000,556.65
300,95,15,7,3000,554.38
300,95,15,8,3000,552.76
300,95,15,9,3000,550.48
300,95,20,1,3000,538.41
300,95,20,2,3000,575.74
300,95,20,3,3000,588.25
300,95,20,4,3000,591.66
300,95,20,5,3000,592.24
300,95,20,6,3000,591.24
300,95,20,7,3000,587.94
300,95,20,8,3000,581.97
300,95,20,9,3000,577.04
300,95,25,1,3000,567.01
300,95,25,2,3000,611.00
300,95,25,3,3000,626.34
300,95,25,4,3000,628.39
300,95,25,5,3000,629.27
300,95,25,6,3000,622.56
300,95,25,7,3000,614.91
300,95,25,8,3000,605.14
300,95,25,9,3000,596.16
300,95,30,1,3000,598.60
300,95,30,2,3000,650.56
300,95,30,3,3000,665.74
300,95,30,4,3000,664.51
300,95,30,5,3000,661.07
300,95,30,6,3000,650.13
300,95,30,7,3000,635.64
300,95,30,8,3000,622.03
300,95,30,9,3000,608.98
300,95,35,1,3000,632.31
300,95,35,2,3000,691.17
300,95,35,3,3000,707.01
300,95,35,4,3000,699.96
300,95,35,5,3000,688.27
300,95,35,6,3000,670.25
300,95,35,7,3000,650.98
300,95,35,8,3000,635.43
300,95,35,9,3000,623.05
300,95,40,1,3000,670.46
300,95,40,2,3000,736.87
300,95,40,3,3000,746.83
300,95,40,4,3000,730.24
300,95,40,5,3000,711.60
300,95,40,6,3000,686.81
300,95,40,7,3000,666.72
300,95,40,8,3000,650.49
300,95,40,9,3000,636.97
300,95,45,1,3000,711.82
300,95,45,2,3000,782.01
300,95,45,3,3000,783.94
300,95,45,4,3000,755.50
300,95,45,5,3000,729.41
300,95,45,6,3000,702.58
300,95,45,7,3000,681.93
300,95,45,8,3000,664.78
300,95,45,9,3000,649.28
300,95,50,1,3000,758.93
300,95,50,2,3000,830.61
300,95,50,3,3000,819.45
300,95,50,4,3000,777.88
300,95,50,5,3000,745.62
300,95,50,6,3000,718.65
300,95,50,7,3000,695.92
300,95,50,8,3000,676.94
300,95,50,9,3000,660.88
300,95,55,1,3000,809.53
300,95,55,2,3000,878.59
300,95,55,3,3000,849.34
300,95,55,4,3000,798.33
300,95,55,5,3000,763.72
300,95,55,6,3000,733.85
300,95,55,7,3000,709.35
300,95,55,8,3000,688.94
300,95,55,9,3000,672.51
300,95,60,1,3000,864.45
300,95,60,2,3000,923.78
300,95,60,3,3000,876.14
300,95,60,4,3000,818.50
300,95,60,5,3000,779.28
300,95,60,6,3000,746.94
300,95,60,7,3000,721.30
300,95,60,8,3000,700.61
300,95,60,9,3000,683.21
300,95,65,1,3000,923.54
300,95,65,2,3000,968.79
300,95,65,3,3000,899.92
300,95,65,4,3000,837.46
300,95,65,5,3000,795.26
300,95,65,6,3000,760.20
300,95,65,7,3000,733.03
300,95,65,8,3000,711.67
300,95,65,9,3000,693.76
300,95,70,1,3000,991.70
300,95,70,2,3000,1010.97
300,95,70,3,3000,923.99
300,95,70,4,3000,854.64
300,95,70,5,3000,807.90
300,95,70,6,3000,772.52
300,95,70,7,3000,744.01
300,95,70,8,3000,721.55
300,95,70,9,3000,703.59
300,97,10,1,3000,497.07
300,97,10,2,3000,526.33
300,97,10,3,3000,533.57
300,97,10,4,3000,532.97
300,97,10,5,3000,533.05
300,97,10,6,3000,532.57
300,97,10,7,3000,530.64
300,97,10,8,3000,529.65
300,97,10,9,3000,528.47
300,97,15,1,3000,523.19
300,97,15,2,3000,556.03
300,97,15,3,3000,565.08
